compliance_case_id,complaint_type,regulatory_category,customer_id,received_date,source,assigned_owner,assigned_date,required_action_date,closed_date,status,investigation_notes,disposition,further_escalation_required
CMP-2026-0129,Regulatory Complaint,Fees / Disclosures,C10343,2026-01-23,Customer Service,R. Kim,2026-01-23,2026-02-05,2026-03-03,Closed,Compliance review documented a fees / disclosures concern. Analyst noted CS ref 00032.,Customer Remediation,Yes
CMP-2026-0130,Consumer Protection Concern,Privacy,,2026-06-24,Customer Service,A. Patel,2026-06-24,2026-06-29,,Open,Compliance review documented a privacy concern. Analyst noted CS ref 00639.,,No
CMP-2025-0131,Regulatory Complaint,Fees / Disclosures,C10407,2025-05-13,Customer Service,A. Patel,2025-05-16,2025-05-27,2025-06-04,Closed,Compliance review documented a fees / disclosures concern. Analyst noted CS ref 00546.,Corrective Action Taken,No
CMP-2026-0132,Consumer Protection Concern,Fair Lending,C10145,2026-01-06,Compliance Monitoring,M. Lewis,2026-01-09,2026-01-17,,Open,Compliance review documented a fair lending concern.,,No
CMP-2026-0133,Regulatory Complaint,Other Regulatory,,2026-05-06,Customer Service,M. Lewis,2026-05-09,2026-05-13,2026-06-06,Closed,Compliance review documented a other regulatory concern. Referred by Customer Service; originating complaint number was not documented.,Monitoring / Follow-up,No
CMP-2025-0134,Regulatory Complaint,Other Regulatory,C10491,2025-05-24,Customer Service,R. Kim,2025-05-24,2025-05-25,2025-05-28,Closed,Compliance review documented a other regulatory concern. Referred by Customer Service; originating complaint number was not documented.,Customer Remediation,No
CMP-2026-0135,Consumer Protection Concern,Servicing / Collections,C10230,2026-01-17,Customer Service,S. Carter,2026-01-20,2026-01-27,2026-02-04,Closed,Compliance review documented a servicing / collections concern. Customer Service complaint CS-2025-00425 noted in referral.,Monitoring / Follow-up,No
CMP-2025-0136,Fair Lending Complaint,Privacy,C10357,2025-08-10,Customer Service,R. Kim,2025-08-12,2025-08-23,2025-09-20,Closed,Compliance review documented a privacy concern. Analyst noted CS ref 00274.,Monitoring / Follow-up,No
CMP-2026-0137,Compliance Concern,Fair Lending,C10065,2026-02-25,Customer Service,S. Carter,2026-02-26,2026-03-04,2026-03-26,Closed,Compliance review documented a fair lending concern.,Monitoring / Follow-up,Yes
CMP-2025-0138,Consumer Protection Concern,Other Regulatory,C10424,2025-06-08,Customer Service,A. Patel,2025-06-10,2025-06-18,2025-06-27,Closed,Compliance review documented a other regulatory concern. Customer Service complaint CS-2026-00506 noted in referral.,Monitoring / Follow-up,No
CMP-2025-0139,Compliance Concern,Other Regulatory,C10058,2025-10-29,Customer Service,J. Nguyen,2025-10-29,2025-11-13,2025-12-07,Closed,Compliance review documented a other regulatory concern. Originating CS record referenced as CS 2025 00351.,Corrective Action Taken,No
CMP-2026-0140,Regulatory Complaint,Privacy,C10409,2026-04-02,Direct Customer,J. Nguyen,2026-04-05,2026-04-16,2026-05-13,Closed,Compliance review documented a privacy concern.,No Violation Identified,No
CMP-2025-0141,Fair Lending Complaint,Fair Lending,C10369,2025-10-25,Branch,J. Nguyen,2025-10-25,2025-11-02,2025-11-06,Closed,Compliance review documented a fair lending concern.,No Violation Identified,No
CMP-2025-0142,Fair Lending Complaint,Privacy,C10518,2025-03-12,Direct Customer,A. Patel,2025-03-13,2025-03-29,,Open,Compliance review documented a privacy concern.,,No
CMP-2026-0143,Fair Lending Complaint,Electronic Funds Transfer,C10042,2026-05-02,Customer Service,M. Lewis,2026-05-02,2026-05-19,2026-05-23,Closed,Compliance review documented a electronic funds transfer concern. Referred by Customer Service; originating complaint number was not documented.,Referred for Further Review,No
CMP-2025-0144,Compliance Concern,Electronic Funds Transfer,,2025-11-22,Compliance Monitoring,A. Patel,2025-11-23,2025-11-27,,Open,Compliance review documented a electronic funds transfer concern.,,Yes
CMP-2025-0145,Compliance Concern,Fair Treatment,,2025-12-08,Compliance Monitoring,S. Carter,2025-12-08,2025-12-12,,Open,Compliance review documented a fair treatment concern.,,No
CMP-2025-0146,Fair Lending Complaint,Fair Treatment,C10071,2025-11-18,Customer Service,M. Lewis,2025-11-21,2025-12-03,2025-12-28,Closed,Compliance review documented a fair treatment concern. Originating CS record referenced as CS 2025 00146.,No Violation Identified,Yes
CMP-2025-0147,Regulatory Complaint,Fees / Disclosures,C10227,2025-04-01,Other Department,R. Kim,2025-04-04,2025-04-05,2025-04-19,Closed,Compliance review documented a fees / disclosures concern.,Customer Remediation,No
CMP-2025-0148,Compliance Concern,Fair Lending,C10205,2025-05-29,Other Department,R. Kim,2025-05-31,2025-06-15,2025-07-02,Closed,Compliance review documented a fair lending concern.,Corrective Action Taken,No
CMP-2026-0149,Fair Lending Complaint,Other Regulatory,C10116,2026-08-08,Other Department,J. Nguyen,2026-08-09,2026-08-12,2026-08-17,Closed,Compliance review documented a other regulatory concern.,Referred for Further Review,No
CMP-2025-0150,Fair Lending Complaint,Other Regulatory,C10442,2025-10-19,Direct Customer,R. Kim,2025-10-20,2025-10-30,2025-11-16,Closed,Compliance review documented a other regulatory concern.,Referred for Further Review,Yes
