complaint_id,received_date,resolved_date,customer_id,primary_category,complaint_notes,contact_channel,product_id,branch_id,status,escalation_target
CS-2025-00180,2025-11-16,2025-11-22,C10270,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Other Department Referral,P002,,Resolved,
CS-2025-00181,2025-07-11,2025-07-14,C10054,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Phone,,,Resolved,
CS-2026-00182,2026-01-27,,C10533,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Phone,P001,,Open,
CS-2026-00183,2026-08-01,2026-08-08,C10102,Fees,Customer disputed a fee and requested review. Representative documented the issue for follow-up.,Branch Referral,,B007,Resolved,
CS-2026-00184,2026-08-27,2026-09-09,C10485,Other,Issue reviewed with customer.,Phone,P005,,Resolved,
CS-2025-00185,2025-04-21,2025-04-21,C10306,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Phone,P003,B006,Resolved,
CS-2025-00186,2025-07-13,2025-07-20,C10330,Cards,Customer reported a debit or credit card concern. Representative attempted to resolve the issue during the interaction.,Phone,P001,,Resolved,
CS-2025-00187,2025-12-15,2026-01-05,C10356,Other,Customer described a concern that did not clearly fit an available category. Additional notes were entered for review.,Secure Message,P005,,Resolved,
CS-2025-00188,2025-02-12,2025-02-18,C10361,Fees,Customer called about concern.,Secure Message,P010,,Resolved,
CS-2026-00189,2026-05-27,2026-06-03,C10511,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Other Department Referral,P005,,Resolved,
CS-2025-00190,2025-02-07,,C10091,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Phone,P009,,Open,
CS-2025-00191,2025-02-11,2025-03-02,C10040,Account Servicing,Customer expressed dissatisfaction with account servicing. Customer provided additional context about the experience.,Phone,P003,,Resolved,
CS-2026-00192,2026-01-17,2026-01-31,C10212,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Email,P002,,Resolved,
CS-2026-00193,2026-01-06,2026-01-24,C10358,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Secure Message,P003,,Resolved,
CS-2025-00194,2025-07-18,2025-08-09,C10022,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Phone,P006,,Resolved,
CS-2026-00195,2026-01-12,2026-01-26,C10093,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Secure Message,P004,,Resolved,
CS-2025-00196,2025-04-11,2025-04-13,C10416,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Secure Message,P010,,Resolved,
CS-2026-00197,2026-03-14,,C10460,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative attempted to resolve the issue during the interaction.,Secure Message,P003,,Open,
CS-2026-00198,2026-05-25,2026-06-15,C10033,Fees,Customer disputed a fee and requested review. Representative documented the issue for follow-up.,Phone,P005,,Resolved,
CS-2026-00199,2026-05-01,2026-05-04,C10088,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Email,P009,,Resolved,
CS-2026-00200,2026-06-13,2026-07-05,C10183,Other,Customer described a concern that did not clearly fit an available category. Representative documented the issue for follow-up.,Secure Message,,B008,Resolved,
CS-2026-00201,2026-01-17,2026-02-06,C10318,Fees,Customer disputed a fee and requested review. Customer provided additional context about the experience.,Phone,P001,,Resolved,
CS-2025-00202,2025-06-27,,C10210,fees,Customer disputed a fee and requested review. Customer provided additional context about the experience.,Phone,P001,B003,Open,
CS-2025-00203,2025-01-31,2025-02-14,C10071,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Phone,P001,,Resolved,
CS-2026-00204,2026-01-06,2026-01-13,C10597,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Secure Message,P011,,Resolved,
CS-2026-00205,2026-04-12,2026-04-30,C10149,Account Servicing,Customer expressed dissatisfaction with account servicing. Customer provided additional context about the experience.,Other Department Referral,P007,,Resolved,
CS-2026-00206,2026-07-28,2026-08-06,C10559,Fees,Customer disputed a fee and requested review. Representative attempted to resolve the issue during the interaction.,Other Department Referral,P006,,Resolved,
CS-2025-00207,2025-03-17,,C10371,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Secure Message,P006,,Open,
CS-2025-00208,2025-10-29,2025-11-10,C10396,Fees,Customer disputed a fee and requested review. Customer provided additional context about the experience.,Phone,P001,,Resolved,
CS-2026-00209,2026-07-04,2026-07-13,C10153,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Branch Referral,P011,B008,Resolved,
CS-2025-00210,2025-09-29,2025-10-06,C10544,Cards,Customer reported a debit or credit card concern. Customer provided additional context about the experience.,Secure Message,P009,,Resolved,
CS-2026-00211,2026-05-27,2026-06-01,C10040,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Secure Message,P007,,Resolved,
CS-2025-00212,2025-09-12,2025-10-02,C10465,Employee/Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Phone,P003,,Resolved,
CS-2025-00213,2025-08-25,,C10226,Fees,Customer disputed a fee and requested review. Representative attempted to resolve the issue during the interaction.,Secure Message,P001,B009,Open,
CS-2025-00214,2025-08-10,,C10166,Account Servicing,Issue reviewed with customer.,Phone,P010,,Open,
CS-2025-00215,2025-03-14,,C10451,Other,Issue reviewed with customer.,Phone,P009,,Referred,Other Department
CS-2025-00216,2025-02-09,2025-02-27,C10486,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Email,P007,,Resolved,
CS-2025-00217,2025-12-30,2026-01-14,C10058,Fees,Customer disputed a fee and requested review. Representative attempted to resolve the issue during the interaction.,Branch Referral,P010,B001,Resolved,
CS-2025-00218,2025-03-31,2025-03-31,C10437,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Customer provided additional context about the experience.,Other Department Referral,,,Resolved,
CS-2025-00219,2025-10-01,,C10220,Other,Issue reviewed with customer.,Secure Message,P006,,Open,
CS-2026-00220,2026-05-16,2026-05-18,C10080,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative documented the issue for follow-up.,Email,P002,,Resolved,
CS-2026-00221,2026-06-20,2026-06-23,C10336,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative documented the issue for follow-up.,Secure Message,P010,,Resolved,
CS-2026-00222,2026-08-26,,C10035,Cards,Customer reported a debit or credit card concern. Representative documented the issue for follow-up.,Phone,P004,,Referred,Other Department
CS-2025-00223,2025-10-04,2025-10-05,C10296,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Customer provided additional context about the experience.,Other Department Referral,P006,,Resolved,
CS-2025-00224,2025-08-02,2025-08-17,C10321,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative documented the issue for follow-up.,Phone,P008,,Resolved,
CS-2026-00225,2026-06-26,2026-06-26,C10285,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Phone,P006,,Resolved,
CS-2026-00226,2026-05-18,2026-05-28,C10325,Fees,Customer called about concern.,Secure Message,P003,,Resolved,
CS-2025-00227,2025-08-19,2025-08-20,C10400,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative documented the issue for follow-up.,Other Department Referral,P001,,Resolved,
CS-2025-00228,2025-05-27,2025-06-17,C10043,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Secure Message,P010,B001,Resolved,
CS-2026-00229,2026-04-23,2026-04-23,C10566,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Customer provided additional context about the experience.,Other Department Referral,P008,,Resolved,
CS-2026-00230,2026-07-07,2026-07-12,C10453,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Customer provided additional context about the experience.,Phone,P001,,Resolved,
CS-2026-00231,2026-05-13,2026-05-17,C10152,Loans,Customer expressed dissatisfaction related to a lending product or process. Additional notes were entered for review.,Branch Referral,P008,B001,Resolved,
CS-2026-00232,2026-07-06,2026-07-18,C10155,Account Servicing,Customer expressed dissatisfaction with account servicing. Customer provided additional context about the experience.,Phone,P001,,Resolved,
CS-2025-00233,2025-12-13,2025-12-25,C10237,Fees,Customer called about concern.,Phone,P004,,Resolved,
CS-2026-00234,2026-07-16,2026-08-07,C10094,Other,Customer described a concern that did not clearly fit an available category. Representative attempted to resolve the issue during the interaction.,Phone,P001,B003,Resolved,
CS-2026-00235,2026-01-15,2026-01-15,C10006,Cards,Issue reviewed with customer.,Phone,P010,,Resolved,
CS-2025-00236,2025-05-31,2025-05-31,C10476,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Other Department Referral,P001,,Resolved,
CS-2025-00237,2025-10-30,2025-11-09,C10510,Cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Secure Message,,,Resolved,
CS-2025-00238,2025-08-02,2025-08-08,C10122,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Branch Referral,,,Resolved,
CS-2025-00239,2025-08-11,2025-08-13,C10180,Account Servicing,Customer upset; follow-up requested.,Secure Message,P006,B002,Resolved,
CS-2025-00240,2025-11-01,2025-11-18,C10098,Employee / Service,Issue reviewed with customer.,Branch Referral,P008,B003,Resolved,
CS-2026-00241,2026-07-25,2026-08-13,C10517,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative documented the issue for follow-up.,Secure Message,P010,,Resolved,
CS-2026-00242,2026-06-08,2026-06-30,C10129,Cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Secure Message,P007,B010,Resolved,
CS-2025-00243,2025-03-21,2025-03-25,C10509,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Other Department Referral,P004,B005,Resolved,
CS-2026-00244,2026-04-23,2026-04-26,C10526,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Phone,P011,,Resolved,
CS-2025-00245,2025-12-13,2025-12-25,C10017,Other,Customer described a concern that did not clearly fit an available category. Additional notes were entered for review.,Secure Message,,,Resolved,
CS-2026-00246,2026-08-26,2026-09-12,C10585,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Customer provided additional context about the experience.,Phone,P001,,Resolved,
CS-2025-00247,2025-01-16,,C10548,Cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Other Department Referral,P005,,Open,
CS-2026-00248,2026-07-12,2026-07-20,C10566,Other,Customer described a concern that did not clearly fit an available category. Additional notes were entered for review.,Phone,P011,,Resolved,
CS-2025-00249,2025-07-09,2025-07-17,C10323,Fees,Customer disputed a fee and requested review. Representative documented the issue for follow-up.,Secure Message,P006,B007,Resolved,
CS-2025-00250,2025-02-16,,C10045,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Secure Message,P003,,Open,
CS-2026-00251,2026-03-15,2026-04-04,C10499,Online & Mobile Banking,Customer upset; follow-up requested.,Phone,P011,B008,Resolved,
CS-2025-00252,2025-07-11,2025-07-19,C10041,Cards,Customer reported a debit or credit card concern. Representative documented the issue for follow-up.,Phone,P005,,Resolved,
CS-2026-00253,2026-08-03,2026-08-18,C10297,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Phone,P007,,Resolved,
CS-2025-00254,2025-03-08,2025-03-20,C10183,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Email,P011,B007,Resolved,
CS-2026-00255,2026-06-16,2026-06-23,C10040,Cards,Customer reported a debit or credit card concern. Representative documented the issue for follow-up.,Secure Message,P011,B007,Resolved,
CS-2026-00256,2026-05-20,2026-05-30,C10385,Other,Customer described a concern that did not clearly fit an available category. Representative documented the issue for follow-up.,Email,P011,,Resolved,
CS-2025-00257,2025-11-25,2025-12-08,C10144,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative attempted to resolve the issue during the interaction.,Secure Message,P010,,Resolved,
CS-2026-00258,2026-06-07,2026-06-09,C10311,Account Servicing,Customer upset; follow-up requested.,Phone,,,Resolved,
CS-2025-00259,2025-05-09,2025-05-10,C10126,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Email,P001,,Resolved,
CS-2025-00260,2025-02-03,2025-02-17,C10404,Cards,Customer reported a debit or credit card concern. Customer provided additional context about the experience.,Phone,P004,B003,Resolved,
CS-2025-00261,2025-04-21,2025-04-26,C10163,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative attempted to resolve the issue during the interaction.,Phone,P003,B005,Resolved,
CS-2026-00262,2026-08-03,2026-08-20,C10052,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative documented the issue for follow-up.,Phone,P003,,Resolved,
CS-2025-00263,2025-04-20,2025-04-21,C10589,Other,Customer described a concern that did not clearly fit an available category. Representative attempted to resolve the issue during the interaction.,Phone,P003,,Resolved,
CS-2025-00264,2025-10-16,2025-10-28,C10053,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative attempted to resolve the issue during the interaction.,Other Department Referral,P011,,Resolved,
CS-2026-00265,2026-03-16,2026-03-26,C10515,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Other Department Referral,P004,,Resolved,
CS-2025-00266,2025-03-01,2025-03-02,C10467,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Branch Referral,P002,,Resolved,
CS-2026-00267,2026-03-09,,C10433,Employee / Service,Issue reviewed with customer.,Phone,P007,B001,Referred,Supervisor
CS-2025-00268,2025-09-21,2025-09-30,C10080,Fees,Customer disputed a fee and requested review. Representative attempted to resolve the issue during the interaction.,Branch Referral,P005,,Resolved,
CS-2026-00269,2026-01-15,,C10250,Lending,Customer called about concern.,Phone,P005,,Referred,Compliance
CS-2025-00270,2025-04-24,2025-05-15,C10291,Fees,Customer disputed a fee and requested review. Representative attempted to resolve the issue during the interaction.,Phone,P001,B002,Resolved,
CS-2025-00271,2025-12-30,2026-01-08,C10276,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Phone,P008,,Resolved,
CS-2026-00272,2026-05-27,,C10097,Employee / Service,Customer called about concern.,Phone,P010,B003,Open,
CS-2026-00273,2026-08-03,,C10401,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative attempted to resolve the issue during the interaction.,Secure Message,P005,,Open,
CS-2025-00274,2025-11-06,2025-11-16,C10499,Cards,Issue reviewed with customer.,Phone,P006,,Resolved,
CS-2026-00275,2026-08-30,2026-09-04,C10306,Fees,Customer disputed a fee and requested review. Representative attempted to resolve the issue during the interaction.,Other Department Referral,P009,,Resolved,
CS-2025-00276,2025-11-20,2025-11-30,C10111,Fees,Customer disputed a fee and requested review. Representative attempted to resolve the issue during the interaction.,Phone,P003,,Resolved,
CS-2025-00277,2025-05-11,2025-05-14,C10120,Fees,Customer disputed a fee and requested review. Representative documented the issue for follow-up.,Email,P001,,Resolved,
CS-2025-00278,2025-06-13,2025-06-15,C10043,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Phone,P004,,Resolved,
CS-2026-00279,2026-01-05,2026-01-26,C10379,Other,Issue reviewed with customer.,Secure Message,P010,,Resolved,
CS-2025-00280,2025-07-19,,C10453,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Customer provided additional context about the experience.,Phone,P009,B003,Open,
CS-2025-00281,2025-04-12,,C10016,Cards,Customer reported a debit or credit card concern. Representative documented the issue for follow-up.,Phone,,,Referred,Other Department
CS-2026-00282,2026-04-04,2026-04-09,C10167,Other,Customer described a concern that did not clearly fit an available category. Representative documented the issue for follow-up.,Email,P004,B007,Resolved,
CS-2025-00283,2025-03-25,2025-03-30,C10120,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Phone,P005,,Resolved,
CS-2026-00284,2026-07-30,2026-08-16,C10119,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Phone,P005,B004,Resolved,
CS-2026-00285,2026-04-17,2026-05-05,C10108,Other,Customer described a concern that did not clearly fit an available category. Representative attempted to resolve the issue during the interaction.,Branch Referral,P006,B008,Resolved,
CS-2026-00286,2026-01-15,,C10372,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative documented the issue for follow-up.,Secure Message,P003,,Open,
CS-2025-00287,2025-08-21,2025-08-26,C10164,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative documented the issue for follow-up.,Secure Message,P007,,Resolved,
CS-2026-00288,2026-08-20,,C10012,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Customer provided additional context about the experience.,Phone,P001,B008,Referred,Other Department
CS-2025-00289,2025-08-31,,C10149,Account Servicing,Customer expressed dissatisfaction with account servicing. Customer provided additional context about the experience.,Phone,P005,B003,Open,
CS-2025-00290,2025-05-25,2025-06-07,C10446,Other,Customer described a concern that did not clearly fit an available category. Customer provided additional context about the experience.,Email,P011,B007,Resolved,
CS-2025-00291,2025-12-08,2025-12-09,C10009,Fees,Customer disputed a fee and requested review. Representative documented the issue for follow-up.,Phone,P010,B007,Resolved,
CS-2025-00292,2025-01-14,2025-01-18,C10462,Account Servicing,Customer expressed dissatisfaction with account servicing. Customer provided additional context about the experience.,Other Department Referral,P011,,Resolved,
CS-2026-00293,2026-03-10,,C10212,Other,Customer described a concern that did not clearly fit an available category. Additional notes were entered for review.,Secure Message,P006,,Referred,Compliance
CS-2025-00294,2025-10-29,2025-10-29,C10145,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Secure Message,,,Resolved,
CS-2025-00295,2025-08-05,2025-08-16,C10584,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Phone,P001,,Resolved,
CS-2025-00296,2025-07-16,2025-07-17,C10461,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Phone,,B008,Resolved,
CS-2026-00297,2026-04-16,2026-05-01,C10061,Lending,Customer upset; follow-up requested.,Phone,P005,,Resolved,
CS-2025-00298,2025-04-02,2025-04-14,C10414,Fees,Customer disputed a fee and requested review. Customer provided additional context about the experience.,Phone,P006,,Resolved,
CS-2025-00299,2025-06-21,2025-06-28,C10551,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Secure Message,P006,,Resolved,
CS-2026-00300,2026-05-13,2026-05-25,C10180,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Phone,P009,,Resolved,
CS-2025-00301,2025-07-15,2025-07-19,C10309,Cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Secure Message,P007,B008,Resolved,
CS-2026-00302,2026-05-31,2026-06-20,C10424,Other,Customer described a concern that did not clearly fit an available category. Representative attempted to resolve the issue during the interaction.,Phone,P005,,Resolved,
CS-2026-00303,2026-05-18,2026-05-30,C10275,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Phone,P011,,Resolved,
CS-2025-00304,2025-10-07,2025-10-18,C10126,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Secure Message,,B008,Resolved,
CS-2025-00305,2025-02-05,2025-02-07,C10444,Account Servicing,Issue reviewed with customer.,Secure Message,P003,,Resolved,
CS-2025-00306,2025-10-31,,C10432,Fees,Customer disputed a fee and requested review. Representative documented the issue for follow-up.,Secure Message,P011,,Open,
CS-2025-00307,2025-10-09,,C10263,Account Servicing,Issue reviewed with customer.,Email,P001,,Open,
CS-2025-00308,2025-11-22,2025-12-12,C10519,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Customer provided additional context about the experience.,Phone,P005,B006,Resolved,
CS-2025-00309,2025-04-01,2025-04-23,C10558,Cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Phone,P001,,Resolved,
CS-2026-00310,2026-06-09,2026-06-27,C10384,Cards,Customer reported a debit or credit card concern. Customer provided additional context about the experience.,Branch Referral,P011,,Resolved,
CS-2025-00311,2025-10-23,2025-10-31,C10514,fees,Customer disputed a fee and requested review. Representative documented the issue for follow-up.,Secure Message,,,Resolved,
CS-2025-00312,2025-04-17,2025-04-28,C10024,Account Servicing,Customer called about concern.,Other Department Referral,P011,,Resolved,
CS-2025-00313,2025-07-05,2025-07-09,C10536,Fees,Customer disputed a fee and requested review. Representative documented the issue for follow-up.,Email,P002,,Resolved,
CS-2025-00314,2025-08-01,2025-08-10,C10240,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative attempted to resolve the issue during the interaction.,Other Department Referral,P003,,Resolved,
CS-2025-00315,2025-08-07,2025-08-26,C10488,Fees ,Customer disputed a fee and requested review. Representative documented the issue for follow-up.,Secure Message,P011,,Resolved,
CS-2026-00316,2026-01-17,2026-02-06,C10154,Cards,Customer reported a debit or credit card concern. Customer provided additional context about the experience.,Phone,P002,,Resolved,
CS-2026-00317,2026-04-11,2026-04-30,C10192,Fees,Issue reviewed with customer.,Secure Message,P010,,Resolved,
CS-2025-00318,2025-10-04,2025-10-09,C10398,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative documented the issue for follow-up.,Phone,P010,,Resolved,
CS-2026-00319,2026-01-18,2026-01-20,C10470,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Phone,P003,,Resolved,
CS-2026-00320,2026-03-05,,C10092,Cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Phone,P007,,Referred,Supervisor
CS-2026-00321,2026-07-19,2026-07-24,C10437,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Branch Referral,P007,,Resolved,
CS-2026-00322,2026-05-26,2026-06-09,C10076,Cards,Customer reported a debit or credit card concern. Representative documented the issue for follow-up.,Phone,P004,,Resolved,
CS-2026-00323,2026-07-21,2026-08-10,C10069,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Secure Message,P006,,Resolved,
CS-2025-00324,2025-09-16,2025-09-30,C10265,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Phone,P004,B007,Resolved,
CS-2026-00325,2026-01-27,,C10596,Account servicing,Customer upset; follow-up requested.,Other Department Referral,P002,,Referred,Supervisor
CS-2025-00326,2025-10-30,2025-11-15,C10349,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative attempted to resolve the issue during the interaction.,Phone,,,Resolved,
CS-2025-00327,2025-06-12,2025-07-03,C10104,Online & Mobile Banking,Customer upset; follow-up requested.,Phone,P005,,Resolved,
CS-2026-00328,2026-03-02,2026-03-06,C10283,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative documented the issue for follow-up.,Other Department Referral,P011,,Resolved,
CS-2025-00329,2025-08-27,2025-09-13,C10537,Cards,Customer reported a debit or credit card concern. Representative attempted to resolve the issue during the interaction.,Secure Message,P008,B006,Resolved,
CS-2025-00330,2025-06-15,2025-06-25,C10398,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Phone,P002,,Resolved,
CS-2026-00331,2026-06-03,2026-06-05,C10493,Lending,Issue reviewed with customer.,Email,P007,,Resolved,
CS-2025-00332,2025-04-10,2025-04-25,C10265,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Phone,P003,,Resolved,
CS-2025-00333,2025-04-06,2025-04-23,C10514,Fees,Customer disputed a fee and requested review. Representative documented the issue for follow-up.,Branch Referral,,B003,Resolved,
CS-2025-00334,2025-02-09,2025-02-14,C10308,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Additional notes were entered for review.,Secure Message,P004,,Resolved,
CS-2025-00335,2025-08-02,,C10147,Fees,Customer disputed a fee and requested review. Customer provided additional context about the experience.,Branch Referral,P005,B009,Open,
CS-2026-00336,2026-03-19,2026-03-22,C10069,Account Servicing,Customer called about concern.,Phone,P001,B003,Resolved,
CS-2025-00337,2025-07-28,2025-08-02,C10183,Account Servicing,Customer expressed dissatisfaction with account servicing. Customer provided additional context about the experience.,Secure Message,P009,,Resolved,
CS-2025-00338,2025-09-01,2025-09-04,C10422,Cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Phone,P009,,Resolved,
CS-2025-00339,2025-11-25,2025-12-09,C10491,Account Servicing,Customer expressed dissatisfaction with account servicing. Customer provided additional context about the experience.,Phone,P009,,Resolved,
CS-2026-00340,2026-02-24,2026-02-24,C10236,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Customer provided additional context about the experience.,Phone,P006,,Resolved,
CS-2025-00341,2025-07-23,2025-07-23,C10108,Lending,Customer expressed dissatisfaction related to a lending product or process. Representative attempted to resolve the issue during the interaction.,Phone,P005,,Resolved,
CS-2025-00342,2025-02-14,,C10358,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Branch Referral,P008,B004,Open,
CS-2025-00343,2025-06-07,2025-06-10,C10080,Cards,Customer reported a debit or credit card concern. Representative documented the issue for follow-up.,Email,P004,,Resolved,
CS-2026-00344,2026-08-24,2026-08-27,C10339,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Secure Message,P003,,Resolved,
CS-2026-00345,2026-08-28,2026-09-13,C10296,Fees,Customer disputed a fee and requested review. Representative attempted to resolve the issue during the interaction.,Email,P009,,Resolved,
CS-2025-00346,2025-05-27,,C10074,Other,Customer described a concern that did not clearly fit an available category. Additional notes were entered for review.,Secure Message,P007,,Open,
CS-2026-00347,2026-04-20,2026-04-20,C10477,Online & Mobile Banking,Customer called about concern.,Phone,P007,,Resolved,
CS-2026-00348,2026-05-24,2026-06-01,C10299,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Branch Referral,,B005,Resolved,
CS-2025-00349,2025-03-29,2025-04-12,,Online & Mobile Banking,Customer called about concern.,Email,P008,,Resolved,
CS-2025-00350,2025-09-13,2025-09-18,C10582,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Phone,P009,,Resolved,
CS-2025-00351,2025-09-15,2025-10-01,C10289,Account Servicing,Customer called about concern.,Phone,P001,,Resolved,
CS-2025-00352,2025-09-22,2025-09-25,C10157,Fees,Customer disputed a fee and requested review. Representative attempted to resolve the issue during the interaction.,Phone,P008,B003,Resolved,
CS-2025-00353,2025-12-28,2026-01-03,C10569,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Email,P003,,Resolved,
CS-2025-00354,2025-08-17,2025-09-01,C10350,Cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Email,P005,B002,Resolved,
CS-2026-00355,2026-06-12,2026-06-20,C10592,Fees,Customer disputed a fee and requested review. Customer provided additional context about the experience.,Phone,P010,,Resolved,
CS-2025-00356,2025-12-25,2025-12-28,C10580,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Customer provided additional context about the experience.,Branch Referral,P010,B005,Resolved,
CS-2025-00357,2025-10-18,2025-11-01,C10388,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Phone,P009,,Resolved,
CS-2026-00358,2026-08-20,2026-09-04,C10005,Fees ,Customer disputed a fee and requested review. Customer provided additional context about the experience.,Phone,P005,B003,Resolved,
CS-2026-00359,2026-05-07,2026-05-29,C10109,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative documented the issue for follow-up.,Phone,P002,,Resolved,
CS-2025-00360,2025-01-26,2025-02-16,C10426,Fees,Customer called about concern.,Phone,P006,,Resolved,
